function,dataset,num_clusters,mst_time,total_time,vertices,edges
PURE_PYTHON,2d-20c-no0,20,0:00:37.430779,0:00:38.693078,1517,1149886
PURE_PYTHON,2sp2glob,4,0:01:06.616811,0:01:08.851569,2000,1999000
PURE_PYTHON,3-spiral,3,0:00:03.868474,0:00:04.068429,312,48516
PURE_PYTHON,D31,31,0:01:54.290225,0:01:57.999370,3100,4803450
PURE_PYTHON,spiralsquare,6,0:00:34.744673,0:00:35.947595,1500,1124250
PURE_PYTHON,square1,4,0:00:20.197688,0:00:21.112460,1000,499500
PURE_PYTHON,twenty,20,0:00:19.568347,0:00:20.458825,1000,499500
PURE_PYTHON,fourty,40,0:00:19.031605,0:00:19.911852,1000,499500
FULL_SPARK,2d-20c-no0,20,0:04:10.494853,0:04:11.776803,1517,1149886
FULL_SPARK,2sp2glob,4,0:04:22.732207,0:04:25.164843,2000,1999000
FULL_SPARK,3-spiral,3,0:03:23.056637,0:03:23.518666,312,48516
FULL_SPARK,D31,31,0:06:01.821626,0:06:06.391214,3100,4803450
FULL_SPARK,spiralsquare,6,0:03:53.538697,0:03:55.010979,1500,1124250
FULL_SPARK,square1,4,0:03:39.879392,0:03:40.813516,1000,499500
FULL_SPARK,twenty,20,0:03:41.676204,0:03:42.678301,1000,499500
FULL_SPARK,fourty,40,0:03:38.858763,0:03:39.764131,1000,499500
INTERMEDIATE_COLLECT,2d-20c-no0,20,0:01:26.641276,0:01:27.940462,1517,1149886
INTERMEDIATE_COLLECT,2sp2glob,4,0:01:58.384462,0:02:00.771254,2000,1999000
INTERMEDIATE_COLLECT,3-spiral,3,0:00:42.806120,0:00:43.017212,312,48516
INTERMEDIATE_COLLECT,D31,31,0:03:35.662145,0:03:40.479624,3100,4803450
INTERMEDIATE_COLLECT,spiralsquare,6,0:01:25.569772,0:01:26.909332,1500,1124250
INTERMEDIATE_COLLECT,square1,4,0:01:07.355435,0:01:08.328579,1000,499500
INTERMEDIATE_COLLECT,twenty,20,0:01:04.378819,0:01:05.306160,1000,499500
INTERMEDIATE_COLLECT,fourty,40,0:01:01.739528,0:01:02.717178,1000,499500
CONFIG,2d-20c-no0,20,0:00:53.745746,0:00:54.997549,1517,1149886
CONFIG,2sp2glob,4,0:01:33.475386,0:01:35.727209,2000,1999000
CONFIG,3-spiral,3,0:00:11.562956,0:00:11.996551,312,48516
CONFIG,D31,31,0:02:56.276750,0:03:00.875577,3100,4803450
CONFIG,spiralsquare,6,0:00:53.143441,0:00:54.375748,1500,1124250
CONFIG,square1,4,0:00:31.767360,0:00:32.697763,1000,499500
CONFIG,twenty,20,0:00:31.198383,0:00:32.090786,1000,499500
CONFIG,fourty,40,0:00:31.272916,0:00:32.171663,1000,499500
DATAFRAMES,2d-20c-no0,20,0:01:19.220260,0:01:20.769013,1517,1149886
DATAFRAMES,2sp2glob,4,0:01:48.630816,0:01:51.023213,2000,1999000
DATAFRAMES,3-spiral,3,0:00:46.418284,0:00:46.621690,312,48516
DATAFRAMES,D31,31,0:03:23.115548,0:03:27.697597,3100,4803450
DATAFRAMES,spiralsquare,6,0:01:21.417859,0:01:22.909657,1500,1124250
DATAFRAMES,square1,4,0:01:02.484108,0:01:03.417308,1000,499500
DATAFRAMES,twenty,20,0:01:03.715255,0:01:04.640380,1000,499500
DATAFRAMES,fourty,40,0:01:02.972204,0:01:03.909306,1000,499500
SINGLE_PARTITION,2d-20c-no0,20,0:00:58.160800,0:00:59.416280,1517,1149886
SINGLE_PARTITION,2sp2glob,4,0:01:39.960592,0:01:42.218802,2000,1999000
SINGLE_PARTITION,3-spiral,3,0:00:13.775213,0:00:14.197181,312,48516
SINGLE_PARTITION,D31,31,0:02:56.042210,0:03:00.667855,3100,4803450
SINGLE_PARTITION,spiralsquare,6,0:00:54.705516,0:00:55.967764,1500,1124250
SINGLE_PARTITION,square1,4,0:00:34.090701,0:00:34.986366,1000,499500
SINGLE_PARTITION,twenty,20,0:00:33.355283,0:00:34.282735,1000,499500
SINGLE_PARTITION,fourty,40,0:00:33.268037,0:00:34.180801,1000,499500
SINGLE_FUNCTION,2d-20c-no0,20,0:03:56.354911,0:03:57.683247,1517,1149886
SINGLE_FUNCTION,2sp2glob,4,0:04:27.976657,0:04:30.263727,2000,1999000
SINGLE_FUNCTION,3-spiral,3,0:03:18.873769,0:03:19.322255,312,48516
SINGLE_FUNCTION,D31,31,0:06:16.449569,0:06:21.222191,3100,4803450
SINGLE_FUNCTION,spiralsquare,6,0:03:59.756666,0:04:00.987861,1500,1124250
SINGLE_FUNCTION,square1,4,0:03:35.844129,0:03:36.793116,1000,499500
SINGLE_FUNCTION,twenty,20,0:03:38.562444,0:03:39.475035,1000,499500
SINGLE_FUNCTION,fourty,40,0:03:35.854547,0:03:36.752754,1000,499500
SINGLE_SLICE,2d-20c-no0,20,0:01:15.008134,0:01:16.339802,1517,1149886
SINGLE_SLICE,2sp2glob,4,0:02:02.454696,0:02:04.766245,2000,1999000
SINGLE_SLICE,3-spiral,3,0:00:16.100394,0:00:16.518085,312,48516
SINGLE_SLICE,D31,31,0:02:56.912610,0:03:01.538981,3100,4803450
SINGLE_SLICE,spiralsquare,6,0:00:57.033275,0:00:58.287564,1500,1124250
SINGLE_SLICE,square1,4,0:00:35.578533,0:00:36.462243,1000,499500
SINGLE_SLICE,twenty,20,0:00:36.863171,0:00:37.754519,1000,499500
SINGLE_SLICE,fourty,40,0:00:42.136618,0:00:43.046000,1000,499500
